COD_ACIDENTE;MOTOCICLETA;AUTOMOVEL;MICROONIBUS;CAMINHAO;ONIBUS;CICLOMOTOR;BICICLETA;OUTROS;TREM;TRACAOANIMAL
ELU9836;0;3;0;0;0;0;0;0;0;0;
NBD8989;1;1;0;0;0;0;0;0;0;0;
QZU7910;1;1;0;0;0;0;0;0;0;0;
BFV1435;1;0;0;0;0;0;1;0;0;0;
MHB6276;1;0;0;1;0;0;0;0;0;0;
VZD2044;1;1;0;0;0;0;0;0;0;0;
UIC1380;1;0;0;0;0;0;0;0;0;0;
DXW6918;0;0;0;0;1;0;0;0;0;0;
LEX8855;0;1;0;1;0;0;0;0;0;0;
EMV7814;1;1;0;0;0;0;0;0;0;0;
VHC3968;0;1;0;0;1;0;0;0;0;0;
ASS5944;1;1;0;0;0;0;0;0;0;0;
PLJ5158;1;1;0;0;0;0;0;0;0;0;
WNB8732;0;2;0;0;0;0;0;0;0;0;
PSE3177;0;0;0;0;1;1;0;0;0;0;
FBS8183;0;2;0;0;0;0;0;0;0;0;
OVH8391;0;2;0;0;0;0;0;0;0;0;
TKV7150;2;0;0;0;0;0;0;0;0;0;
SBB8794;1;1;0;0;0;0;0;0;0;0;
CBB1003;1;1;0;0;0;0;0;0;0;0;
HSE0981;1;1;0;0;0;0;0;0;0;0;
HDQ3702;0;2;0;0;0;0;0;0;0;0;
IQI3711;0;2;0;0;0;0;0;0;0;0;
ZGF6539;0;1;0;1;0;0;0;0;0;0;
SJY7424;2;0;0;0;0;0;0;1;0;0;
NEK0763;1;0;0;0;0;0;0;0;0;0;
XXG1408;0;2;0;0;0;0;0;0;0;0;
VIG5686;0;0;0;1;0;1;0;0;0;0;
SLE4762;1;1;0;0;0;0;0;0;0;0;
CWF3130;0;0;0;0;1;0;1;0;0;0;
GMK9770;1;1;0;0;0;0;0;0;0;0;
XHC1728;1;1;0;0;0;0;0;0;0;0;
OHY6780;1;1;0;0;0;0;0;0;0;0;
HUO0642;1;1;0;0;0;0;0;0;0;0;
ENT5718;1;3;0;0;0;0;0;0;0;0;
TVK5955;0;1;0;0;1;0;0;0;0;0;
RVE0478;1;1;0;0;0;0;0;0;0;0;
OCQ2710;0;2;0;0;0;0;0;0;0;0;
UYI4042;0;2;0;0;0;0;0;0;0;0;
FQO4446;1;1;0;0;0;0;0;0;0;0;
WEE2687;1;0;0;0;1;0;0;0;0;0;
KCN7982;1;1;0;0;0;0;0;0;0;0;
KMK9268;0;2;0;0;0;0;0;0;0;0;
NDP4051;1;1;0;0;0;0;0;0;0;0;
